transaction_id,account_number,amount,transaction_type,status,timestamp,transaction_date
TXN00002,ACC5178,21736.47,NEFT,SUCCESS,2026-09-11 00:38:16,2026-09-11
TXN00003,ACC9405,16504.44,NEFT,SUCCESS,2026-09-08 00:38:16,2026-09-08
TXN00004,ACC8343,29035.11,RTGS,SUCCESS,2026-09-09 00:38:16,2026-09-09
TXN00005,ACC6892,7551.1,IMPS,PENDING,2026-08-30 00:38:16,2026-08-30
TXN00006,ACC2283,12232.29,RTGS,SUCCESS,2026-09-07 00:38:16,2026-09-07
TXN00007,ACC5531,5389.31,RTGS,PENDING,2026-09-01 00:38:16,2026-09-01
TXN00008,ACC4212,31726.51,RTGS,SUCCESS,2026-09-15 00:38:16,2026-09-15
TXN00009,ACC1273,10683.89,IMPS,PENDING,2026-08-22 00:38:16,2026-08-22
TXN00010,ACC1753,10163.3,RTGS,PENDING,2026-09-03 00:38:16,2026-09-03
TXN00011,ACC3533,8241.78,NEFT,PENDING,2026-09-02 00:38:16,2026-09-02
TXN00012,ACC2470,27575.25,NEFT,SUCCESS,2026-09-01 00:38:16,2026-09-01
TXN00013,ACC6529,463.69,NEFT,PENDING,2026-09-11 00:38:16,2026-09-11
TXN00015,ACC6277,36311.16,RTGS,PENDING,2026-08-31 00:38:16,2026-08-31
TXN00018,ACC6805,8709.11,NEFT,PENDING,2026-08-25 00:38:16,2026-08-25
TXN00019,ACC2706,1255.43,IMPS,SUCCESS,2026-09-13 00:38:16,2026-09-13
TXN00020,ACC8229,25147.82,IMPS,PENDING,2026-08-22 00:38:16,2026-08-22
TXN00021,ACC8431,27472.28,RTGS,SUCCESS,2026-08-25 00:38:16,2026-08-25
TXN00022,ACC6653,1055.84,NEFT,PENDING,2026-08-20 00:38:16,2026-08-20
TXN00023,ACC5470,27862.0,IMPS,PENDING,2026-09-06 00:38:16,2026-09-06
TXN00024,ACC1678,25403.67,NEFT,PENDING,2026-08-23 00:38:16,2026-08-23
TXN00025,ACC3673,23158.84,NEFT,PENDING,2026-09-02 00:38:16,2026-09-02
TXN00026,ACC9450,25639.56,NEFT,PENDING,2026-09-05 00:38:16,2026-09-05
TXN00027,ACC6883,21144.64,RTGS,SUCCESS,2026-09-08 00:38:16,2026-09-08
TXN00028,ACC3033,41773.28,NEFT,PENDING,2026-09-08 00:38:16,2026-09-08
TXN00029,ACC9491,15504.79,RTGS,PENDING,2026-09-05 00:38:16,2026-09-05
TXN00030,ACC2719,34674.21,IMPS,SUCCESS,2026-08-24 00:38:16,2026-08-24
TXN00031,ACC5522,13882.68,RTGS,PENDING,2026-08-26 00:38:16,2026-08-26
TXN00033,ACC7141,26093.81,NEFT,SUCCESS,2026-08-23 00:38:16,2026-08-23
TXN00038,ACC7081,11007.97,RTGS,SUCCESS,2026-08-29 00:38:16,2026-08-29
TXN00039,ACC5496,31695.07,NEFT,SUCCESS,2026-09-12 00:38:16,2026-09-12
TXN00041,ACC3933,24586.62,RTGS,PENDING,2026-08-28 00:38:16,2026-08-28
TXN00042,ACC7551,4801.11,RTGS,PENDING,2026-09-07 00:38:16,2026-09-07
TXN00044,ACC1817,23172.49,NEFT,SUCCESS,2026-08-21 00:38:16,2026-08-21
TXN00045,ACC6154,13881.05,IMPS,PENDING,2026-09-02 00:38:16,2026-09-02
TXN00048,ACC3476,5639.75,NEFT,PENDING,2026-08-26 00:38:16,2026-08-26
TXN00049,ACC2251,36814.59,NEFT,PENDING,2026-09-15 00:38:16,2026-09-15
TXN00050,ACC4036,2653.62,NEFT,PENDING,2026-09-08 00:38:16,2026-09-08
TXN00051,ACC9274,320.66,NEFT,SUCCESS,2026-09-14 00:38:16,2026-09-14
TXN00052,ACC7672,35819.03,NEFT,SUCCESS,2026-09-18 00:38:16,2026-09-18
TXN00053,ACC9850,49404.26,RTGS,SUCCESS,2026-09-09 00:38:16,2026-09-09
TXN00056,ACC8388,3895.93,RTGS,PENDING,2026-08-22 00:38:16,2026-08-22
TXN00057,ACC5155,7483.85,NEFT,PENDING,2026-09-15 00:38:16,2026-09-15
TXN00058,ACC2388,4056.13,IMPS,PENDING,2026-08-30 00:38:16,2026-08-30
TXN00060,ACC5584,11001.65,NEFT,PENDING,2026-08-27 00:38:16,2026-08-27
TXN00062,ACC3805,26616.6,IMPS,SUCCESS,2026-08-27 00:38:16,2026-08-27
